Предложение,Ссылка
"На запятках графской кареты, пролетавшей по Миллионной, неизменно стоял абиссинец, вызывая своей чернотой и тонким станом изумление прохожих.  Илья Ильф, Евгений Петров, «Двенадцать стульев», 1927 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абиссинцы
"Невероятно любознательные и активные от природы, абиссинцы знают себе цену и не навязываются хозяевам, если те заняты. Тем не менее, эти кошки будут всячески стараться принять участие в повседневных семейных делах, в том числе наблюдать и контролировать весь процесс, зорко наблюдая за происходящим с высоты.  «Абиссинская кошка - описание, характер и содержание породы», 28 марта 2022 г. [источник — www.dogeat.ru]",https://ru.wiktionary.org/wiki/абиссинцы
"Вчерашняя «абитура», а теперь однокурсники стремительно разбились на группки и в считанные минуты рассосались, а он и Алина так и остались стоять в огромном пустом холле, отзывающемся эхом на каждый шаг и вздох.  Сергей Таранов, «Чёрт за спиной», 2001 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абитура
На абитуре нас поселили в другом общежитии.,https://ru.wiktionary.org/wiki/абитура
"За две недели, оставшиеся до экзаменов, Зина поняла, что из двадцати двух абитуриентов, претендующих на одно студенческое место, по крайней мере десять интереснее и образованнее её.  В. В. Липатов, «Деревенский детектив», „Три зимних дня“, 1967–1968 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абитуриент
"Вечеринка была устроена по случаю окончания всеми нами второй ступени. Теперь мы все абитуриенты  Н. Огнёв, «Дневник Кости Рябцева», 1927 г.",https://ru.wiktionary.org/wiki/абитуриент
"По лицам экзаменационной комиссии абитуриентка поняла, что ее слышно далеко за пределами института.  Ольга Демьянова, «Неважная театральная жизнь» // «Столица», 1997 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абитуриентка
"Профессор сказал, что абитуриентка допустила одну ошибку.  «Вступительные экзамены: мой дорогой вуз» // «Аргументы и факты», 2003 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абитуриентка
"В индоевропейском после сравнительной степени употреблялся аблатив, как и в латыни.  Г. Пауль, «Принципы истории языка», 2013 г. [Google Книги]",https://ru.wiktionary.org/wiki/аблатив
"Среди всех этих автохтонов, ряженых и неподдельных, попадались личности ещё причудливей: офицеры, одетые женщинами, и женщины, одетые солдатами; эклектики, столь же фальшивые, сколь и автохтоны, гимнософисты, аблегаты и их прислужники, отшельники, призраки, зоантропы — полулюди-полузвери, деоданды и ремонтады в живописном тряпье и с нарочито бешеным раскрасом глаз.  Вулф Джин Родман, «Меч ликтора» / перевод с англ., 2000 г.",https://ru.wiktionary.org/wiki/аблегат
"Для грамотного написания рецептов необходимо усвоить окончания двух падежей — винительного и так называемого аблятива — в пяти склонениях существительных и прилагательных I, II и III склонений.  А. Штунь, «Латинский язык для медиков», 2013 г.",https://ru.wiktionary.org/wiki/аблятив
"В изготовлении печатных форм используется абляция, при которой с поверхности формы удаляют часть слоя под действием лазерного излучения.",https://ru.wiktionary.org/wiki/абляция
Молодая абовянка.,https://ru.wiktionary.org/wiki/абовянка
Замужние абовянки.,https://ru.wiktionary.org/wiki/абовянка
"Европейский аболиционизм может пошатнуться, если Западную Европу постигнет террор, как он постиг Россию.  В. В. Лунеев, «Преступность XX века: мировые, региональные и российские тенденции», 2005 г.",https://ru.wiktionary.org/wiki/аболиционизм
"В начале 30-х годов в США возникло мощное движение (аболиционизм), исходившее из требования не только ограничить, но и немедленно запретить рабство.  Н. В. Банников, Н. И. Самохвалов, «История американской литературы», 1971 г.",https://ru.wiktionary.org/wiki/аболиционизм
"Думаю, словом, что практически я — столько же аболиционист, не принимая на себя этой клички, сколько и мой оппонент. Теоретическая же разница между нашими взглядами та, что г. Зеньковский оптимистически верит: — Спасая и охраняя падших женщин аболиционисты уничтожают проституцию.  А. В. Амфитеатров, «О борьбе с проституцией», 1904 г.",https://ru.wiktionary.org/wiki/аболиционист
"В 1775 году, с целью добиться отмены невольничества, в Филадельфии образовалось общество аболиционистов под председательством Франклина.  М. В. Барро, «Маколей. Его жизнь и литературная деятельность», 1894 г. [НКРЯ]",https://ru.wiktionary.org/wiki/аболиционист
"Княгиня слыхала и про Журавского и про «самоучного мещанина Семенова», которые оба впоследствии получили у нас оригинальную известность: первый как сотрудник Сперанского по изданию законов и потом искреннейший аболиционист, а второй как самоучка-астроном.  Н. С. Лесков, «Захудалый род», 1874 г. [НКРЯ]",https://ru.wiktionary.org/wiki/аболиционист
"Заманчивые обещания либеральных аболиционистов относительно будущего дворянства как фермеров-коммерсантов для большинства оказались неосуществимыми.  «Реформа 1861 г. в истории России (к 150-летию отмены крепостного права)» / отв. ред. Коновалов В. С., 2011 г.",https://ru.wiktionary.org/wiki/аболиционист
"Решение разместить изображение знаменитой аболиционистки на 20-долларовую банкноту было принято после того как в казначействе ознакомились с тысячами писем от американцев.  На новых долларах США появятся женщины-борцы за гражданские права, «lenta.ru», апрель 2016 [НКРЯ]",https://ru.wiktionary.org/wiki/аболиционистка
"Он подчинился им и выбрал себе в идеи аболиционизм и очень красиво написал в предисловии, что наша литература и есть аболиционистская.  К. И. Чуковский, «О короткомыслии», 1907 г. [НКРЯ]",https://ru.wiktionary.org/wiki/аболиционистский
Транспортный абонемент. Абонемент на курсы стоит дёшево.,https://ru.wiktionary.org/wiki/абонемент
"Саратовская филармония в этом году с помощью студенческих абонементов надеется привлечь внимание молодой аудитории к классическому музыкальному искусству.  Анастасия Гулина, «О необходимости культурной политики», 2003 г. // «Богатей» [НКРЯ]",https://ru.wiktionary.org/wiki/абонемент
"Выступление музыкантов прошло в рамках абонемента «Золотой фонд мировой музыкальной культуры» и на этот раз было составлено из произведений П. И. Чайковского.  «Конкурсы, концерты», 2003 г. // «Встреча» [НКРЯ]",https://ru.wiktionary.org/wiki/абонемент
Победителям конкурса вручили подписные абонементы на местные газеты.,https://ru.wiktionary.org/wiki/абонемент
"Модестов ― известный русский статистик ― заведовал тогда этой читальней. Там был и домашний абонемент. Видя такое моё прилежание, он дал разрешение давать мне книги домой из спецфонда.  В. Т. Шаламов, «Москва 20-30-х годов», 1954–1979 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абонемент
"Она негромко спрашивает, что мне угодно, и, усомнившись в моём праве на абонемент (я был лишь немного выше барьера), всё же выдаёт мне «Давида Копперфильда».  В. А. Каверин, «Освещенные окна», 1974–1976 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абонемент
"Какая-то девушка протянула ему абонемент закомпостировать, но отвращение было так сильно, что он выронил его. .. Какая-то старушка передала ей абонемент: «Барышня, пробейте!»  Нина Горланова, «Лав стори», 1987–1999 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абонемент
Абонементный ящик.,https://ru.wiktionary.org/wiki/абонементный
Абонементный зал.,https://ru.wiktionary.org/wiki/абонементный
Абонементное обслуживание.,https://ru.wiktionary.org/wiki/абонементный
"Самая грандиозная сцена спектакля ― длинный (аж дух захватывает) монолог немолодой грузной обитательницы «Фабрики», которая звонит гуру в тот момент, когда он создает на сцене очередную картину из трех линий и пригоршни конфетти. Словоохотливую абонентку мы видим на экране ― в халате, в домашних тапочках, нечесаную. Она отчаянно напоминает героиню Галины Волчек из «Осеннего марафона», читающую по телефону Бузыкину свой душераздирающий перевод.  Марина Давыдова, «(Москва — Вроцлав). Восемь часов с Энди Уорхолом» // «Известия», апрель 2009 [НКРЯ]",https://ru.wiktionary.org/wiki/абонентка
"Стоимость местных звонков по стране пребывания очень разнится в зависимости от тарифного плана, но если смотреть ТП с минимальной абоненткой, то минута будет стоить от 10 евроцентов.  Юрий Ермолов, «Экономный голос» // «Коммерсант», май 2011 [НКРЯ]",https://ru.wiktionary.org/wiki/абонентка
"Письма, извещения, рекламные проспекты, счета, накопившиеся за время моего пребывания во Франции, посыпались из плотно набитого абонентного ящика, едва я открыла створку.  Мириам Гамбурд, «Рассказы», 2002 г. // «Звезда» [НКРЯ]",https://ru.wiktionary.org/wiki/абонентный
Платежи за телефон можно сделать в абонентском пункте.,https://ru.wiktionary.org/wiki/абонентский
"Золото следовало поместить в швейцарском банке в сейф, абонированный СД.  В. М. Кожевников, «Щит и меч», 1968 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абонированный
"В конце концов мы порешили, помимо шампанского, абонировать для него кресло в театре, утроить жалованье, купить ему вороных, еженедельно отправлять его за город на тройке ― все это в счет Общества.  А. П. Чехов, «Единственное средство», 1883 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абонировать
"Вообразите, абонировался в оперу и до половины абонемента не дослушал.  И. А. Гончаров, «Обломов», 1859 г.",https://ru.wiktionary.org/wiki/абонироваться
"По Мечникову, выросты первичной кишки иглокожих можно сравнить с каналами гастроваскулярной системы медуз и гребневиков, а их мадрепоровые каналы — с открывающимися у гребневиков на аборальном полюсе каналами, идущими от воронки.  П. А. Новиков, «И. И. Мечников как зоолог», 1948 г. [НКРЯ]",https://ru.wiktionary.org/wiki/аборальный
"Опытом строительства крупнотоннажных судов Россия не располагала, шведов сокрушила армада галер, бравших на абордаж свейские бриги и фрегаты.  Азольский Анатолий, «Диверсант», 2002 г. // «Новый Мир» [НКРЯ]",https://ru.wiktionary.org/wiki/абордаж
"Однако метким и частым огнем «Скорый» перебил у неприятеля столько людей, что абордаж не состоялся.  Е. В. Тарле, «Экспедиция адмирала Сенявина в Средиземное море (1805–1807)», 1954 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абордаж
"Кругом ещё лежали груды оружия ― кортики, абордажные крючья, офицерские шпаги, топоры и прочий пиратский реквизит.  Илья Ильф, Евгений Петров, «Одноэтажная Америка», 1936 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абордажный крюк
"Лейтенант Дмитрий Ильин, невзирая на ожесточённый огонь неприятельской корабельной артиллерии, с наветренной стороны хладнокровно приблизился к большому турецкому линейному кораблю, крепко-накрепко сцепился с ним абордажными крюками и лишь после этого поджёг свой брандер.  Семён Экштут, «А какую кавалерию лучше... красную или голубую?» // «Родина», 2008 [НКРЯ]",https://ru.wiktionary.org/wiki/абордажный крюк
